city,date,state,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
string,time,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,city state,continuous,continuous,continuous,False True,continuous,continuous,continuous,continuous,continuous
Comendador Levy Gasparian,2021-10-02,RJ,city,821,32,470,True,8561,8576,3300951,9573.22761,0.0390
Conceição de Macabu,2021-10-02,RJ,city,2142,78,496,True,23228,23398,3301405,9154.62860,0.0364
Cordeiro,2021-10-02,RJ,city,4059,22,492,True,21926,22041,3301504,18415.67987,0.0054
Duas Barras,2021-10-02,RJ,city,245,7,461,True,11492,11528,3301603,2125.26024,0.0286
Duque de Caxias,2021-10-02,RJ,city,25929,1702,525,True,919596,924624,3301702,2804.27504,0.0656
Engenheiro Paulo de Frontin,2021-10-02,RJ,city,1669,66,483,True,14002,14071,3301801,11861.27496,0.0395
Guapimirim,2021-10-02,RJ,city,5202,190,530,True,60517,61388,3301850,8473.96885,0.0365
Iguaba Grande,2021-10-02,RJ,city,5181,141,515,True,28310,28837,3301876,17966.50137,0.0272
Importados/Indefinidos,2021-10-02,RJ,city,0,0,528,True,,,,,0.0000
Itaboraí,2021-10-02,RJ,city,15573,834,522,True,240592,242543,3301900,6420.71715,0.0536
Itaguaí,2021-10-02,RJ,city,12684,398,516,True,133019,134819,3302007,9408.16947,0.0314
Italva,2021-10-02,RJ,city,633,31,491,True,15207,15299,3302056,4137.52533,0.0490
Itaocara,2021-10-02,RJ,city,2929,81,487,True,23234,23222,3302106,12613.03936,0.0277
Itaperuna,2021-10-02,RJ,city,15429,268,513,True,103224,103800,3302205,14864.16185,0.0174
Itatiaia,2021-10-02,RJ,city,2622,71,508,True,31805,32064,3302254,8177.39521,0.0271
Japeri,2021-10-02,RJ,city,1235,142,511,True,104768,105548,3302270,1170.08375,0.1150
Laje do Muriaé,2021-10-02,RJ,city,644,14,477,True,7355,7326,3302304,8790.60879,0.0217
Macaé,2021-10-02,RJ,city,37619,763,518,True,256672,261501,3302403,14385.79585,0.0203
Macuco,2021-10-02,RJ,city,1121,12,495,True,5599,5623,3302452,19935.97724,0.0107
Magé,2021-10-02,RJ,city,15107,640,516,True,245071,246433,3302502,6130.26664,0.0424
Mangaratiba,2021-10-02,RJ,city,3465,161,521,True,44468,45220,3302601,7662.53870,0.0465
Maricá,2021-10-02,RJ,city,12712,640,520,True,161207,164504,3302700,7727.47167,0.0503
Mendes,2021-10-02,RJ,city,4092,60,503,True,18614,18648,3302809,21943.37194,0.0147
Mesquita,2021-10-02,RJ,city,4247,490,516,True,176103,176569,3302858,2405.29198,0.1154
Miguel Pereira,2021-10-02,RJ,city,3648,77,529,True,25538,25581,3302908,14260.58403,0.0211
Miracema,2021-10-02,RJ,city,2946,143,488,True,27174,27154,3303005,10849.23032,0.0485
Natividade,2021-10-02,RJ,city,1195,28,480,True,15317,15311,3303104,7804.84619,0.0234
Nilópolis,2021-10-02,RJ,city,4531,561,515,True,162485,162693,3303203,2784.99997,0.1238
Niterói,2021-10-02,RJ,city,56023,2369,533,True,513584,515317,3303302,10871.56061,0.0423
Nova Friburgo,2021-10-02,RJ,city,25094,852,514,True,190631,191158,3303401,13127.36061,0.0340
Nova Iguaçu,2021-10-02,RJ,city,25841,2058,521,True,821128,823302,3303500,3138.70244,0.0796
Paracambi,2021-10-02,RJ,city,3761,133,508,True,52257,52683,3303609,7138.92527,0.0354
Paraty,2021-10-02,RJ,city,3681,88,509,True,43165,43680,3303807,8427.19780,0.0239
Paraíba do Sul,2021-10-02,RJ,city,5347,170,514,True,44285,44518,3303708,12010.87201,0.0318
Paty do Alferes,2021-10-02,RJ,city,3200,98,509,True,27769,27858,3303856,11486.82605,0.0306
Petrópolis,2021-10-02,RJ,city,20933,1488,528,True,306191,306678,3303906,6825.72601,0.0711
Pinheiral,2021-10-02,RJ,city,3258,77,500,True,25156,25364,3303955,12844.97713,0.0236
Piraí,2021-10-02,RJ,city,4502,104,506,True,29277,29545,3304003,15237.77289,0.0231
Porciúncula,2021-10-02,RJ,city,2614,90,515,True,18847,18960,3304102,13786.91983,0.0344
Porto Real,2021-10-02,RJ,city,2118,41,511,True,19683,19974,3304110,10603.78492,0.0194
Quatis,2021-10-02,RJ,city,1082,29,511,True,14302,14435,3304128,7495.67025,0.0268
Queimados,2021-10-02,RJ,city,6889,227,519,True,150319,151335,3304144,4552.15251,0.0330
Quissamã,2021-10-02,RJ,city,3458,78,503,True,24700,25126,3304151,13762.63631,0.0226
Resende,2021-10-02,RJ,city,16542,505,524,True,131341,132312,3304201,12502.26737,0.0305
Rio Bonito,2021-10-02,RJ,city,11058,241,519,True,60201,60573,3304300,18255.65846,0.0218
Rio Claro,2021-10-02,RJ,city,1589,65,472,True,18529,18605,3304409,8540.71486,0.0409
Rio das Flores,2021-10-02,RJ,city,533,17,510,True,9284,9344,3304508,5704.19521,0.0319
Rio das Ostras,2021-10-02,RJ,city,17072,502,520,True,150674,155193,3304524,11000.49616,0.0294
Rio de Janeiro,2021-10-02,RJ,city,484433,34102,535,True,6718903,6747815,3304557,7179.10909,0.0704
Santa Maria Madalena,2021-10-02,RJ,city,274,11,492,True,10404,10392,3304607,2636.64357,0.0401
Santo Antônio de Pádua,2021-10-02,RJ,city,7391,157,498,True,42479,42594,3304706,17352.20923,0.0212
Sapucaia,2021-10-02,RJ,city,3201,118,511,True,18228,18249,3305406,17540.68716,0.0369
Saquarema,2021-10-02,RJ,city,3720,312,506,True,89170,90583,3305505,4106.73084,0.0839
Seropédica,2021-10-02,RJ,city,3313,203,520,True,82312,83092,3305554,3987.14678,0.0613
Silva Jardim,2021-10-02,RJ,city,2915,31,503,True,21774,21774,3305604,13387.52641,0.0106
Sumidouro,2021-10-02,RJ,city,2314,56,509,True,15623,15667,3305703,14769.89851,0.0242
São Fidélis,2021-10-02,RJ,city,615,98,506,True,38669,38710,3304805,1588.73676,0.1593
São Francisco de Itabapoana,2021-10-02,RJ,city,2474,102,508,True,42205,42210,3304755,5861.17034,0.0412
São Gonçalo,2021-10-02,RJ,city,69414,3170,526,True,1084839,1091737,3304904,6358.12471,0.0457
São José de Ubá,2021-10-02,RJ,city,1092,8,492,True,7171,7206,3305133,15154.03830,0.0073
São José do Vale do Rio Preto,2021-10-02,RJ,city,2269,75,491,True,21795,21916,3305158,10353.16664,0.0331
São João da Barra,2021-10-02,RJ,city,5060,22,513,True,36102,36423,3305000,13892.32079,0.0043
São João de Meriti,2021-10-02,RJ,city,16336,1307,519,True,472406,472906,3305109,3454.38628,0.0800
São Pedro da Aldeia,2021-10-02,RJ,city,5684,325,518,True,104476,106049,3305208,5359.78651,0.0572
São Sebastião do Alto,2021-10-02,RJ,city,769,29,494,True,9357,9387,3305307,8192.18068,0.0377
Tanguá,2021-10-02,RJ,city,4463,130,513,True,34309,34610,3305752,12895.11702,0.0291
Teresópolis,2021-10-02,RJ,city,32560,904,519,True,182594,184240,3305802,17672.60096,0.0278
Trajano de Moraes,2021-10-02,RJ,city,919,5,513,True,10626,10640,3305901,8637.21805,0.0054
Três Rios,2021-10-02,RJ,city,10758,274,515,True,81804,82142,3306008,13096.83231,0.0255
Valença,2021-10-02,RJ,city,5762,204,524,True,76523,76869,3306107,7495.86960,0.0354
Varre-Sai,2021-10-02,RJ,city,2859,7,470,True,11000,11106,3306156,25742.84171,0.0024
Vassouras,2021-10-02,RJ,city,3097,135,495,True,36896,37083,3306206,8351.53574,0.0436
Volta Redonda,2021-10-02,RJ,city,38134,1229,525,True,273012,273988,3306305,13918.12780,0.0322
,2022-03-27,MG,state,3317401,60767,745,True,21168791,21292666,31,15580.01708,0.0183
Abadia dos Dourados,2021-09-22,MG,city,574,17,367,True,6989,7006,3100104,8192.97745,0.0296
Abaeté,2021-09-22,MG,city,1636,42,393,True,23237,23250,3100203,7036.55914,0.0257
Abre Campo,2021-09-22,MG,city,1274,16,336,True,13454,13444,3100302,9476.34633,0.0126
Acaiaca,2021-09-22,MG,city,234,12,326,True,3994,3994,3100401,5858.78818,0.0513
Aguanil,2021-09-22,MG,city,687,8,326,True,4486,4522,3100807,15192.39275,0.0116
Aimorés,2021-09-22,MG,city,2091,76,371,True,25167,25141,3101102,8317.09160,0.0363
Aiuruoca,2021-09-22,MG,city,346,10,317,True,6003,5976,3101201,5789.82597,0.0289
Alagoa,2021-09-22,MG,city,444,7,317,True,2674,2665,3101300,16660.41276,0.0158
Albertina,2021-09-22,MG,city,262,9,317,True,3007,3011,3101409,8701.42810,0.0344
Alfenas,2021-09-22,MG,city,10818,205,405,True,79996,80494,3101607,13439.51102,0.0189
Alfredo Vasconcelos,2021-09-22,MG,city,629,15,365,True,6907,6981,3101631,9010.17046,0.0238
Almenara,2021-09-22,MG,city,4543,52,390,True,41896,42143,3101706,10779.96346,0.0114
Alpercata,2021-09-22,MG,city,503,20,397,True,7424,7436,3101805,6764.38946,0.0398
Alpinópolis,2021-09-22,MG,city,1843,45,368,True,19853,19958,3101904,9234.39222,0.0244
Alterosa,2021-09-22,MG,city,811,37,376,True,14466,14517,3102001,5586.55370,0.0456
Alto Caparaó,2021-09-22,MG,city,437,9,344,True,5847,5894,3102050,7414.31965,0.0206
Alto Jequitibá,2021-09-22,MG,city,983,11,372,True,8317,8301,3153509,11841.94675,0.0112
Alto Rio Doce,2021-09-22,MG,city,575,29,368,True,11000,10859,3102100,5295.14688,0.0504
Alvarenga,2021-09-22,MG,city,514,4,357,True,3907,3844,3102209,13371.48803,0.0078
Alvinópolis,2021-09-22,MG,city,855,23,339,True,15203,15169,3102308,5636.49548,0.0269
Alvorada de Minas,2021-09-22,MG,city,283,3,333,True,3606,3605,3102407,7850.20804,0.0106
Além Paraíba,2021-09-22,MG,city,3686,161,381,True,35362,35401,3101508,10412.13525,0.0437
Amparo do Serra,2021-09-22,MG,city,170,8,342,True,4713,4678,3102506,3634.03164,0.0471
Andradas,2021-09-22,MG,city,4070,123,361,True,41077,41396,3102605,9831.86781,0.0302
Andrelândia,2021-09-22,MG,city,206,15,361,True,12224,12206,3102803,1687.69458,0.0728
Angelândia,2021-09-22,MG,city,268,4,317,True,8520,8557,3102852,3131.93876,0.0149
Antônio Carlos,2021-09-22,MG,city,820,17,341,True,11445,11459,3102902,7155.94729,0.0207
Antônio Dias,2021-09-22,MG,city,603,27,341,True,9318,9275,3103009,6501.34771,0.0448
Antônio Prado de Minas,2021-09-22,MG,city,166,5,317,True,1598,1587,3103108,10459.98740,0.0301
Aracitaba,2021-09-22,MG,city,91,10,317,True,2063,2059,3103306,4419.62118,0.1099
Araguari,2021-09-22,MG,city,19051,453,404,True,117267,117825,3103504,16168.89455,0.0238
Arantina,2021-09-22,MG,city,238,5,354,True,2795,2787,3103603,8539.64837,0.0210
Araponga,2021-09-22,MG,city,688,13,317,True,8439,8453,3103702,8139.12221,0.0189
Araporã,2021-09-22,MG,city,2063,40,349,True,6869,6931,3103751,29764.82470,0.0194
Arapuá,2021-09-22,MG,city,289,3,340,True,2834,2835,3103801,10194.00353,0.0104
Araxá,2021-09-22,MG,city,14785,239,391,True,106229,107337,3104007,13774.37417,0.0162
Araçaí,2021-09-22,MG,city,104,1,317,True,2347,2354,3103207,4418.01189,0.0096
Araçuaí,2021-09-22,MG,city,2026,52,360,True,36708,36712,3103405,5518.63151,0.0257
Araújos,2021-09-22,MG,city,947,14,317,True,9273,9401,3103900,10073.39645,0.0148
Arceburgo,2021-09-22,MG,city,1280,34,386,True,10772,10883,3104106,11761.46283,0.0266
Arcos,2021-09-22,MG,city,6226,139,403,True,40092,40380,3104205,15418.52402,0.0223
Areado,2021-09-22,MG,city,1237,31,317,True,15070,15181,3104304,8148.34332,0.0251
Argirita,2021-09-22,MG,city,283,9,319,True,2727,2704,3104403,10465.97633,0.0318
Aricanduva,2021-09-22,MG,city,149,0,317,True,5231,5269,3104452,2827.86107,0.0000
Arinos,2021-09-22,MG,city,1151,30,332,True,17875,17862,3104502,6443.84727,0.0261
Astolfo Dutra,2021-09-22,MG,city,1405,28,367,True,14179,14270,3104601,9845.83041,0.0199
Ataléia,2021-09-22,MG,city,1194,10,327,True,12868,12678,3104700,9417.88926,0.0084
Augusto de Lima,2021-09-22,MG,city,314,11,320,True,4869,4851,3104809,6472.89219,0.0350
Açucena,2021-09-22,MG,city,808,36,356,True,9470,9368,3100500,8625.10675,0.0446
Baependi,2021-09-22,MG,city,1615,32,346,True,19148,19199,3104908,8411.89645,0.0198
Baldim,2021-09-22,MG,city,674,22,317,True,7826,7803,3105004,8637.70345,0.0326
Bambuí,2021-09-22,MG,city,2074,32,337,True,23829,23898,3105103,8678.55051,0.0154
Bandeira,2021-09-22,MG,city,478,10,324,True,4795,4766,3105202,10029.37474,0.0209
Bandeira do Sul,2021-09-22,MG,city,690,15,317,True,5746,5778,3105301,11941.84839,0.0217
Barbacena,2021-09-22,MG,city,9271,301,403,True,137313,138204,3105608,6708.19947,0.0325
Barra Longa,2021-09-22,MG,city,430,11,341,True,5131,5015,3105707,8574.27717,0.0256
Barroso,2021-09-22,MG,city,2089,58,358,True,20810,20897,3105905,9996.65024,0.0278
Barão de Cocais,2021-09-22,MG,city,4810,74,346,True,32485,32866,3105400,14635.18530,0.0154
Barão de Monte Alto,2021-09-22,MG,city,344,12,334,True,5397,5354,3105509,6425.10273,0.0349
Bela Vista de Minas,2021-09-22,MG,city,993,24,368,True,10255,10262,3106002,9676.47632,0.0242
Belmiro Braga,2021-09-22,MG,city,216,3,390,True,3429,3425,3106101,6306.56934,0.0139
Belo Horizonte,2021-09-22,MG,city,278370,6636,419,True,2512070,2521564,3106200,11039.57702,0.0238
Belo Oriente,2021-09-22,MG,city,2750,71,381,True,26700,26994,3106309,10187.44906,0.0258
Belo Vale,2021-09-22,MG,city,1056,12,381,True,7715,7719,3106408,13680.52857,0.0114
Berilo,2021-09-22,MG,city,153,1,322,True,11932,11872,3106507,1288.74663,0.0065
Berizal,2021-09-22,MG,city,250,1,317,True,4735,4764,3106655,5247.69102,0.0040
Bertópolis,2021-09-22,MG,city,489,5,317,True,4604,4607,3106606,10614.28261,0.0102
Betim,2021-09-22,MG,city,31785,1334,413,True,439340,444784,3106705,7146.16533,0.0420
Bias Fortes,2021-09-22,MG,city,119,3,317,True,3379,3329,3106804,3574.64704,0.0252
Bicas,2021-09-22,MG,city,1491,46,380,True,14494,14554,3106903,10244.60629,0.0309
Biquinhas,2021-09-22,MG,city,175,3,347,True,2515,2498,3107000,7005.60448,0.0171
Boa Esperança,2021-09-22,MG,city,4935,144,410,True,40127,40219,3107109,12270.32000,0.0292
Bocaina de Minas,2021-09-22,MG,city,196,7,351,True,5090,5089,3107208,3851.44429,0.0357
Bocaiúva,2021-09-22,MG,city,2720,68,361,True,49979,50256,3107307,5412.28908,0.0250
Bom Despacho,2021-09-22,MG,city,5805,97,413,True,50605,51028,3107406,11376.10724,0.0167
Bom Jardim de Minas,2021-09-22,MG,city,544,3,324,True,6474,6459,3107505,8422.35640,0.0055
Bom Jesus da Penha,2021-09-22,MG,city,705,17,317,True,4217,4244,3107604,16611.68709,0.0241
Bom Jesus do Amparo,2021-09-22,MG,city,293,8,338,True,6083,6133,3107703,4777.43356,0.0273
Bom Jesus do Galho,2021-09-22,MG,city,805,35,345,True,14935,14862,3107802,5416.49845,0.0435
Bom Repouso,2021-09-22,MG,city,1200,27,376,True,10547,10537,3107901,11388.44073,0.0225
Bom Sucesso,2021-09-22,MG,city,1269,25,324,True,17603,17607,3108008,7207.36071,0.0197
Bonfim,2021-09-22,MG,city,491,17,393,True,6868,6860,3108107,7157.43440,0.0346
Bonfinópolis de Minas,2021-09-22,MG,city,579,14,353,True,5493,5444,3108206,10635.56209,0.0242
Bonito de Minas,2021-09-22,MG,city,110,0,317,True,11230,11369,3108255,967.54332,0.0000
Borda da Mata,2021-09-22,MG,city,1964,58,396,True,19412,19614,3108305,10013.25584,0.0295
Botelhos,2021-09-22,MG,city,1880,32,398,True,14971,14949,3108404,12576.09205,0.0170
Botumirim,2021-09-22,MG,city,243,4,317,True,6319,6288,3108503,3864.50382,0.0165
Brasilândia de Minas,2021-09-22,MG,city,1766,28,323,True,16538,16748,3108552,10544.54263,0.0159
Brasília de Minas,2021-09-22,MG,city,1448,9,382,True,32347,32405,3108602,4468.44623,0.0062
Brazópolis,2021-09-22,MG,city,919,32,368,True,14459,14410,3108909,6377.51561,0.0348
Braúnas,2021-09-22,MG,city,260,11,351,True,4801,4769,3108800,5451.87670,0.0423
Brumadinho,2021-09-22,MG,city,4188,89,372,True,40103,40666,3109006,10298.52948,0.0213
Brás Pires,2021-09-22,MG,city,302,8,320,True,4333,4293,3108701,7034.70766,0.0265
Bueno Brandão,2021-09-22,MG,city,998,30,374,True,11001,10991,3109105,9080.15649,0.0301
Buenópolis,2021-09-22,MG,city,305,13,345,True,10365,10353,3109204,2946.00599,0.0426
Bugre,2021-09-22,MG,city,373,13,352,True,3982,3983,3109253,9364.80040,0.0349
Buritis,2021-09-22,MG,city,2467,44,340,True,24841,25013,3109303,9862.87131,0.0178
Buritizeiro,2021-09-22,MG,city,1578,34,339,True,28056,28121,3109402,5611.46474,0.0215
Cabeceira Grande,2021-09-22,MG,city,516,7,326,True,6949,6988,3109451,7384.08701,0.0136
Cabo Verde,2021-09-22,MG,city,759,9,322,True,14075,14075,3109501,5392.53996,0.0119
Cachoeira Dourada,2021-09-22,MG,city,172,2,358,True,2692,2706,3109808,6356.24538,0.0116
Cachoeira da Prata,2021-09-22,MG,city,226,13,318,True,3603,3591,3109600,6293.51156,0.0575
Cachoeira de Minas,2021-09-22,MG,city,1113,19,360,True,11547,11579,3109709,9612.22904,0.0171
Cachoeira de Pajeú,2021-09-22,MG,city,537,11,352,True,9412,9442,3102704,5687.35437,0.0205
Caetanópolis,2021-09-22,MG,city,1170,20,379,True,11624,11749,3109907,9958.29432,0.0171
Caeté,2021-09-22,MG,city,2146,72,388,True,44718,45047,3110004,4763.91325,0.0336
Caiana,2021-09-22,MG,city,183,7,339,True,5496,5541,3110103,3302.65295,0.0383
Cajuri,2021-09-22,MG,city,429,7,364,True,3987,3974,3110202,10795.16860,0.0163
Caldas,2021-09-22,MG,city,1025,39,366,True,14480,14541,3110301,7049.03377,0.0380
Camacho,2021-09-22,MG,city,195,2,317,True,2901,2869,3110400,6796.79331,0.0103
Camanducaia,2021-09-22,MG,city,3488,70,388,True,21770,21801,3110509,15999.26609,0.0201
Cambuquira,2021-09-22,MG,city,870,28,394,True,12814,12812,3110707,6790.50890,0.0322
Cambuí,2021-09-22,MG,city,4132,60,399,True,29551,29814,3110608,13859.26075,0.0145
Campanha,2021-09-22,MG,city,2213,47,363,True,16665,16762,3110905,13202.48180,0.0212
Campanário,2021-09-22,MG,city,255,6,321,True,3721,3730,3110806,6836.46113,0.0235
Campestre,2021-09-22,MG,city,2164,47,363,True,21055,21054,3111002,10278.33191,0.0217
Campina Verde,2021-09-22,MG,city,1434,33,359,True,19745,19752,3111101,7260.02430,0.0230
Campo Azul,2021-09-22,MG,city,210,0,317,True,3817,3824,3111150,5491.63180,0.0000
Campo Belo,2021-09-22,MG,city,7376,212,409,True,54029,54186,3111200,13612.37220,0.0287
Campo Florido,2021-09-22,MG,city,1024,16,338,True,8151,8269,3111408,12383.60140,0.0156
Campo do Meio,2021-09-22,MG,city,939,16,317,True,11655,11651,3111309,8059.39404,0.0170
Campos Altos,2021-09-22,MG,city,1300,26,413,True,15461,15563,3111507,8353.14528,0.0200
Campos Gerais,2021-09-22,MG,city,2434,45,393,True,28774,28842,3111606,8439.08189,0.0185
Cana Verde,2021-09-22,MG,city,659,10,367,True,5603,5594,3111903,11780.47908,0.0152
Canaã,2021-09-22,MG,city,355,2,317,True,4563,4548,3111705,7805.62885,0.0056
Candeias,2021-09-22,MG,city,976,22,362,True,14886,14888,3112000,6555.61526,0.0225
Cantagalo,2021-09-22,MG,city,263,6,317,True,4525,4551,3112059,5778.94968,0.0228
Canápolis,2021-09-22,MG,city,1583,35,349,True,12150,12201,3111804,12974.34637,0.0221
Caparaó,2021-09-22,MG,city,370,7,353,True,5438,5451,3112109,6787.74537,0.0189
Capela Nova,2021-09-22,MG,city,205,5,336,True,4653,4634,3112208,4423.82391,0.0244
Capelinha,2021-09-22,MG,city,3076,36,366,True,37784,38057,3112307,8082.61292,0.0117
Capetinga,2021-09-22,MG,city,935,30,347,True,6920,6890,3112406,13570.39187,0.0321
Capim Branco,2021-09-22,MG,city,864,18,349,True,9754,9826,3112505,8792.99817,0.0208
Capinópolis,2021-09-22,MG,city,2426,51,370,True,16173,16234,3112604,14943.94481,0.0210
Capitão Andrade,2021-09-22,MG,city,462,21,317,True,5468,5514,3112653,8378.67247,0.0455
Capitão Enéas,2021-09-22,MG,city,1327,19,350,True,15234,15313,3112703,8665.83948,0.0143
Capitólio,2021-09-22,MG,city,1370,40,404,True,8632,8663,3112802,15814.38301,0.0292
Caputira,2021-09-22,MG,city,991,19,317,True,9298,9308,3112901,10646.75548,0.0192
Caranaíba,2021-09-22,MG,city,135,4,344,True,3183,3166,3113107,4264.05559,0.0296
Carandaí,2021-09-22,MG,city,2145,51,368,True,25501,25669,3113206,8356.38319,0.0238
Carangola,2021-09-22,MG,city,4267,119,397,True,33000,33011,3113305,12925.99437,0.0279
Caratinga,2021-09-22,MG,city,10023,256,372,True,92062,92603,3113404,10823.62342,0.0255
Caraí,2021-09-22,MG,city,1021,17,339,True,23685,23780,3113008,4293.52397,0.0167
Carbonita,2021-09-22,MG,city,648,5,349,True,9405,9414,3113503,6883.36520,0.0077
Careaçu,2021-09-22,MG,city,651,14,360,True,6757,6792,3113602,9584.80565,0.0215
Carlos Chagas,2021-09-22,MG,city,2383,37,386,True,18837,18674,3113701,12761.05816,0.0155
Carmo da Cachoeira,2021-09-22,MG,city,629,15,401,True,12170,12182,3113909,5163.35577,0.0238
Carmo da Mata,2021-09-22,MG,city,938,10,367,True,11476,11511,3114006,8148.72730,0.0107
Carmo de Minas,2021-09-22,MG,city,988,23,341,True,14859,14947,3114105,6610.02208,0.0233
Carmo do Cajuru,2021-09-22,MG,city,1407,52,409,True,22478,22693,3114204,6200.14983,0.0370
Carmo do Paranaíba,2021-09-22,MG,city,3298,110,362,True,30329,30334,3114303,10872.28852,0.0334
Carmo do Rio Claro,2021-09-22,MG,city,1606,61,346,True,21225,21268,3114402,7551.25071,0.0380
Carmésia,2021-09-22,MG,city,115,1,317,True,2632,2646,3113800,4346.18292,0.0087
Carmópolis de Minas,2021-09-22,MG,city,2347,52,369,True,19355,19559,3114501,11999.59098,0.0222
Carneirinho,2021-09-22,MG,city,1337,45,321,True,10027,10066,3114550,13282.33658,0.0337
Carrancas,2021-09-22,MG,city,428,10,344,True,4047,4049,3114600,10570.51124,0.0234
Carvalhos,2021-09-22,MG,city,245,2,317,True,4478,4461,3114808,5492.04214,0.0082
Carvalhópolis,2021-09-22,MG,city,281,7,340,True,3579,3597,3114709,7812.06561,0.0249
Casa Grande,2021-09-22,MG,city,117,4,317,True,2257,2254,3114907,5190.77196,0.0342
Cascalho Rico,2021-09-22,MG,city,228,4,364,True,3075,3092,3115003,7373.86805,0.0175
Cataguases,2021-09-22,MG,city,7900,258,391,True,75123,75540,3115300,10458.03548,0.0327
Catas Altas,2021-09-22,MG,city,564,12,359,True,5376,5421,3115359,10403.98450,0.0213
Catas Altas da Noruega,2021-09-22,MG,city,120,4,344,True,3641,3653,3115409,3284.97126,0.0333
Catuji,2021-09-22,MG,city,552,7,374,True,6311,6257,3115458,8822.11923,0.0127
Catuti,2021-09-22,MG,city,245,4,317,True,4986,4965,3115474,4934.54179,0.0163
Caxambu,2021-09-22,MG,city,1922,49,364,True,21656,21610,3115508,8894.03054,0.0255
Cedro do Abaeté,2021-09-22,MG,city,38,0,317,True,1164,1157,3115607,3284.35609,0.0000
Central de Minas,2021-09-22,MG,city,721,33,324,True,7032,7046,3115706,10232.75617,0.0458
Centralina,2021-09-22,MG,city,1310,53,399,True,10350,10346,3115805,12661.89832,0.0405
Chalé,2021-09-22,MG,city,698,10,352,True,5704,5699,3116001,12247.76277,0.0143
Chapada Gaúcha,2021-09-22,MG,city,1438,15,317,True,13680,13953,3116159,10306.02738,0.0104
Chapada do Norte,2021-09-22,MG,city,231,4,317,True,15356,15345,3116100,1505.37634,0.0173
Chiador,2021-09-22,MG,city,338,7,362,True,2687,2671,3116209,12654.43654,0.0207
Chácara,2021-09-22,MG,city,242,10,360,True,3154,3186,3115904,7595.73132,0.0413
Cipotânea,2021-09-22,MG,city,538,23,356,True,6787,6799,3116308,7912.92837,0.0428
Claraval,2021-09-22,MG,city,517,4,322,True,4843,4853,3116407,10653.20420,0.0077
Claro dos Poções,2021-09-22,MG,city,506,10,317,True,7551,7514,3116506,6734.09635,0.0198
Cláudio,2021-09-22,MG,city,4283,65,367,True,28617,28859,3116605,14841.12409,0.0152
Coimbra,2021-09-22,MG,city,593,12,345,True,7556,7594,3116704,7808.79642,0.0202
Coluna,2021-09-22,MG,city,492,10,317,True,8873,8841,3116803,5564.98134,0.0203
Comendador Gomes,2021-09-22,MG,city,416,5,317,True,3111,3120,3116902,13333.33333,0.0120
Comercinho,2021-09-22,MG,city,450,6,370,True,6929,6774,3117009,6643.04694,0.0133
Conceição da Aparecida,2021-09-22,MG,city,776,9,317,True,10292,10322,3117108,7517.92288,0.0116
Conceição da Barra de Minas,2021-09-22,MG,city,274,5,329,True,3954,3946,3115201,6943.74050,0.0182
Conceição das Alagoas,2021-09-22,MG,city,4770,139,394,True,27893,28346,3117306,16827.77111,0.0291
Conceição das Pedras,2021-09-22,MG,city,185,4,338,True,2812,2813,3117207,6576.60860,0.0216
Conceição de Ipanema,2021-09-22,MG,city,397,4,317,True,4574,4578,3117405,8671.90913,0.0101
Conceição do Mato Dentro,2021-09-22,MG,city,3060,38,349,True,17842,17503,3117504,17482.71725,0.0124
Conceição do Pará,2021-09-22,MG,city,351,10,317,True,5507,5533,3117603,6343.75565,0.0285
Conceição do Rio Verde,2021-09-22,MG,city,1260,25,360,True,13638,13684,3117702,9207.83397,0.0198
Conceição dos Ouros,2021-09-22,MG,city,1097,35,346,True,11638,11748,3117801,9337.75962,0.0319
Confins,2021-09-22,MG,city,550,17,338,True,6730,6800,3117876,8088.23529,0.0309
Congonhal,2021-09-22,MG,city,1364,29,365,True,11950,12082,3117900,11289.52160,0.0213
Congonhas,2021-09-22,MG,city,8422,108,363,True,54762,55309,3118007,15227.17822,0.0128
Congonhas do Norte,2021-09-22,MG,city,96,3,324,True,5045,5046,3118106,1902.49703,0.0312
Conquista,2021-09-22,MG,city,868,15,317,True,6939,6969,3118205,12455.15856,0.0173
Conselheiro Lafaiete,2021-09-22,MG,city,15645,279,388,True,128589,129606,3118304,12071.20041,0.0178
Conselheiro Pena,2021-09-22,MG,city,2306,51,349,True,22921,22949,3118403,10048.36812,0.0221
Consolação,2021-09-22,MG,city,89,3,317,True,1783,1784,3118502,4988.78924,0.0337
Contagem,2021-09-22,MG,city,47053,1875,413,True,663855,668949,3118601,7033.86955,0.0398
Coqueiral,2021-09-22,MG,city,761,23,351,True,9159,9128,3118700,8336.98510,0.0302
Coração de Jesus,2021-09-22,MG,city,772,20,337,True,26602,26611,3118809,2901.05595,0.0259
Cordisburgo,2021-09-22,MG,city,411,17,323,True,8890,8897,3118908,4619.53467,0.0414
Cordislândia,2021-09-22,MG,city,282,3,317,True,3538,3542,3119005,7961.60361,0.0106
Corinto,2021-09-22,MG,city,1412,47,353,True,23731,23668,3119104,5965.86108,0.0333
Coroaci,2021-09-22,MG,city,497,13,333,True,9991,9943,3119203,4998.49140,0.0262
